tipo,año,nombre,localización
Bien cultural,1984,Alhambra,Andalucía
Bien cultural,1984,Generalife,Andalucía
Bien cultural,1984,Albaicín,Andalucía
Bien cultural,1994,Alhambra,Andalucía
Bien cultural,1994,Generalife,Andalucía
Bien cultural,1994,Albaicín,Andalucía
Bien cultural,1984,Catedral de Burgos,Castilla y León
Bien cultural,2014,Catedral de Burgos,Castilla y León
Bien cultural,1984,Centro histórico de Córdoba,Andalucía
Bien cultural,1994,Centro histórico de Córdoba,Andalucía
Bien cultural,1984,Monasterio y Sitio de El Escorial,Comunidad de Madrid
Bien cultural,1984,Obras de Antoni Gaudí,Cataluña
Bien cultural,2005,Obras de Antoni Gaudí,Cataluña
Bien cultural,1985,Casco antiguo de Ávila e iglesias extramuros,Castilla y León
Bien cultural,2007,Casco antiguo de Ávila e iglesias extramuros,Castilla y León
Bien cultural,1985,Ciudad vieja de Santiago de Compostela,Galicia
Bien cultural,1985,Ciudad vieja,Castilla y León
Bien cultural,1985,acueducto de Segovia,Castilla y León
Bien cultural,1985,Cueva de Altamira y arte rupestre paleolítico del norte de España,Cantabria
Bien cultural,1985,Cueva de Altamira y arte rupestre paleolítico del norte de España,Asturias
Bien cultural,1985,Cueva de Altamira y arte rupestre paleolítico del norte de España,País Vasco
Bien cultural,2008,Cueva de Altamira y arte rupestre paleolítico del norte de España,Cantabria
Bien cultural,2008,Cueva de Altamira y arte rupestre paleolítico del norte de España,Asturias
Bien cultural,2008,Cueva de Altamira y arte rupestre paleolítico del norte de España,País Vasco
Bien cultural,1985,Monumentos de Oviedo y del Reino de Asturias,Asturias
Bien cultural,1998,Monumentos de Oviedo y del Reino de Asturias,Asturias
Bien cultural,1986,Arquitectura mudéjar de Aragón,Aragón
Bien cultural,2001,Arquitectura mudéjar de Aragón,Aragón
Bien cultural,1986,Ciudad vieja de Cáceres,Extremadura
Bien cultural,1986,Ciudad histórica de Toledo,Castilla-La Mancha
Bien natural,1986,Parque Nacional de Garajonay,Canarias
Bien cultural,1987,Catedral,Andalucía
Bien cultural,1987,Alcázar,Andalucía
Bien cultural,1987,Archivo de Indias,Andalucía
Bien cultural,1987,Sevilla,Andalucía
Bien cultural,1988,Ciudad vieja de Salamanca,Castilla y León
Bien cultural,1991,Monasterio de Poblet,Cataluña
Bien cultural,1993,Conjunto arqueológico de Mérida,Extremadura
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Aragón
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Castilla y León
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Galicia
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,La Rioja
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,País Vasco
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Cantabria
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Asturias
Bien cultural,1993,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Navarra
Bien cultural,2015,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Aragón
Bien cultural,2015,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Castilla y León
Bien cultural,2015,Caminos de Santiago de Compostela: Camino francés y Caminos del Norte de España,Galicia
