id,Name,href,comunidad,provincia,municipio,descripcion,direccion,latitude,longitude
0,Ermita de Nuestra Señora del Otero,/es/lugares-interes/ermita-nuestra-senora-otero/,Castilla y León,Palencia,Frómista,"De una sola nave, este templo fue reformado en el siglo XVII. En su interior alberga una imagen de la Virgen del Otero, patrona de la villa y perteneciente al siglo XIII.","['34440', 'Frómista,', 'Palencia', '(Castilla y León)']",42.267449799999994,-4.4068187000000005
1,Ermita de Nuestra Señora de la Piedad,/es/lugares-interes/ermita-nuestra-senora-piedad/,Castilla y León,Palencia,Itero de la Vega,"Sencilla construcción con portada que apunta al gótico. Conserva restos románicos: una ventana en su cabecera, así como capiteles con decoración vegetal. A su vez, alberga una antiquísima imagen de Santiago Peregrino.",['Camino de Itero a Puente Fitero'],42.28725479999999,-4.2598597
2,Ermita de Nuestra Señora del Rebollar,/es/lugares-interes/ermita-nuestra-senora-rebollar/,Castilla y León,Burgos,Arlanzón,"Modesto santuario de mampostería situado a la entrada del municipio. Un arco da paso al presbiterio, donde en un pequeño altar dorado se encuentra una imagen de la Virgen con Niño en brazos. La imagen primitiva se conserva en la iglesia y data del siglo XII.","['09199', 'Agés,', 'Arlanzón,', 'Burgos', '(Castilla y León)']",42.3702746,-3.4799677000000004
3,Ermita de Los Remedios,/es/lugares-interes/ermita-remedios/,Principado de Asturias,Asturias,"Franco, El",Pequeño templo realizado en piedra. Destaca por la gran devoción que los habitantes del lugar tienen a la Virgen de los Remedios.,"['Porcía,', 'Franco, El,', 'Asturias', '(Principado de Asturias)']",43.562519099999996,-6.874917599999999
4,Ermita rupestre de Nuestra Señora de la Peña,/es/lugares-interes/ermita-rupestre-nuestra-senora-pena/,Castilla y León,Burgos,Tosantos,Está semiexcavada en una fachada de un roquedal inmediato al municipio. En un pequeño retablo de su interior se venera una imagen con Niño Jesús del siglo XII.,"['09258', 'Tosantos,', 'Burgos', '(Castilla y León)']",42.4138627,-3.2435475
5,Ermita de San Adrián de Sasabe,/es/lugares-interes/ermita-san-adrian-sasabe/,Aragón,Huesca,Borau,Es el único vestigio del monasterio que existió en el mismo lugar y primera sede episcopal aragonesa. Se sitúa en un entorno ubicado en la confluencia de dos barrancos.,"['Borau,', 'Huesca', '(Aragón)']",42.658735899999996,-0.5881645000000001
6,Ermita de San Antonio de la Florida,/es/lugares-interes/ermita-san-antonio-florida/,Comunidad de Madrid,Madrid,Madrid,"La ermita fue mandada construir por Carlos IV al arquitecto italiano Filippo Fontana en 1792. La escultura de San Antonio fue realizada por José Ginés. La decoración fue llevada a cabo por Francisco de Goya, quién realizó los frescos que narran el tema de la vida del santo. La ermita tiene planta de cruz griega, con cúpula central en la que destaca su linterna. La fachada tiene un solo cuerpo, decorado con dos pilastras dóricas. En 1905 fue declarada Monumento Nacional. Como medida de protección, en 1926 se suspendió el culto y se encargó la construcción de una réplica de la misma al arquitecto Juan de Moya. En 1919 se trasladaron los restos de Francisco de Goya. En 1928, el rey Alfonso XIII cedía la ermita a la Real Academia de Bellas Artes de San Fernando, quien se encarga de su custodia.","['Glorieta de San Antonio de la Florida, 5']",40.42569214732066,-3.725958522676813
7,Ermita de San Babil o de Nuestra Señora De Noravilla,/es/lugares-interes/ermita-san-babil-nuestra-senora-noravilla/,Aragón,Huesca,-,Edificio románico que se asoma sobre la carretera de Pamplona y rodeado por un bonito retazo de carrascal.,"['Santa Engracia de Jaca,', '-,', 'Huesca', '(Aragón)']",42.5968415,-0.7843214
8,Ermita de San Baudelio de Berlanga,/es/lugares-interes/ermita-san-baudelio-berlanga/,Castilla y León,Soria,Caltojar,"Se edificó en el siglo XI sobre una antigua mezquita. Sus frescos, algunos de ellos recién restaurados, son de diferentes estilos (románico, gótico y renacentista). Los motivos de esas imágenes no son religiosos. El exterior de la ermita es de sencilla mampostería. Se accede al interior atravesando un doble arco de herradura. La nave tiene 2 cuerpos rectangulares y en el centro una ancha columna que sostiene 8 arcos de herradura radiales (palmera). En la raíz de esos arcos hay una linterna con cupulilla de 6 nervios cruzados de dos en dos. Al coro se sube por una escalera empotrada en la pared. Al fondo encontramos una cueva.","['42367', 'Casillas de Berlanga,', 'Caltojar,', 'Soria', '(Castilla y León)']",41.4146837350373,-2.7925096575902306
9,Ermita de San Blas,/es/lugares-interes/ermita-san-blas/,Castilla y León,León,Ponferrada,,"['24490', 'Columbrianos,', 'Ponferrada,', 'León', '(Castilla y León)']",42.575757200000005,-6.608822900000001
